"Date","Price","Open","High","Low","Vol.","Change %"
"06/03/2024","21.32","21.70","21.79","21.00","33.88M","-1.66%"
"05/31/2024","21.68","21.79","22.20","21.31","44.42M","-0.23%"
"05/30/2024","21.73","21.28","21.96","21.02","47.58M","3.77%"
"05/29/2024","20.94","20.77","20.99","20.64","24.83M","-0.52%"
"05/28/2024","21.05","21.06","21.22","20.73","26.27M","0.19%"
"05/24/2024","21.01","20.72","21.15","20.65","22.16M","1.40%"
"05/23/2024","20.72","21.39","21.52","20.63","36.89M","-2.13%"
"05/22/2024","21.17","21.23","21.42","21.08","25.21M","-0.33%"
"05/21/2024","21.24","21.34","21.45","21.12","27.95M","-1.76%"
"05/20/2024","21.62","21.77","21.77","21.22","35.26M","-0.64%"
"05/17/2024","21.76","21.78","22.17","21.56","30.03M","0.51%"
"05/16/2024","21.65","21.74","21.87","21.53","27.42M","-0.09%"
"05/15/2024","21.67","21.73","21.81","21.18","39.42M","1.07%"
"05/14/2024","21.44","20.95","22.07","20.93","57.89M","2.39%"
"05/13/2024","20.94","20.60","21.19","20.60","37.52M","1.65%"
"05/10/2024","20.60","21.27","21.37","20.50","59.85M","-2.55%"
"05/09/2024","21.14","21.49","21.58","20.94","54.10M","-1.95%"
"05/08/2024","21.56","21.58","21.73","21.06","67.58M","0.75%"
"05/07/2024","21.40","21.99","22.70","21.35","161.06M","-15.11%"
"05/06/2024","25.21","24.37","25.35","24.03","175.94M","8.06%"
"05/03/2024","23.33","23.48","23.64","22.91","55.98M","3.46%"
"05/02/2024","22.55","22.60","22.72","22.10","30.40M","1.94%"
"05/01/2024","22.12","21.93","22.83","21.63","34.81M","0.68%"
"04/30/2024","21.97","22.77","22.87","21.95","30.51M","-3.77%"
"04/29/2024","22.83","22.75","23.09","22.55","30.33M","1.38%"
"04/26/2024","22.52","22.05","22.67","21.91","33.12M","3.73%"
"04/25/2024","21.71","20.82","21.74","20.66","26.23M","0.56%"
"04/24/2024","21.59","22.05","22.25","21.30","34.43M","-0.23%"
"04/23/2024","21.64","21.25","22.06","21.23","36.30M","3.20%"
"04/22/2024","20.97","20.72","21.08","20.36","31.89M","2.44%"
"04/19/2024","20.47","20.98","21.43","20.33","39.63M","-3.12%"
"04/18/2024","21.13","21.25","21.43","20.70","34.55M","-0.84%"
"04/17/2024","21.31","22.01","22.11","21.22","30.14M","-2.61%"
"04/16/2024","21.88","21.59","21.99","21.27","33.87M","-0.09%"
"04/15/2024","21.90","22.79","23.13","21.83","38.18M","-3.40%"
"04/12/2024","22.67","22.70","23.20","22.41","36.76M","-0.74%"
"04/11/2024","22.84","22.65","22.91","22.25","26.40M","1.87%"
"04/10/2024","22.42","22.22","22.71","22.01","28.64M","-1.71%"
"04/09/2024","22.81","23.01","23.09","22.46","27.72M","-0.83%"
"04/08/2024","23.00","23.08","23.20","22.67","25.02M","0.17%"
"04/05/2024","22.96","22.42","23.32","22.31","38.72M","2.14%"
"04/04/2024","22.48","23.82","24.10","22.40","65.00M","-0.97%"
"04/03/2024","22.70","22.44","23.01","22.38","30.36M","-0.09%"
"04/02/2024","22.72","22.00","22.79","21.72","39.77M","-0.61%"
"04/01/2024","22.86","22.98","23.21","22.40","41.00M","-0.65%"
"03/28/2024","23.01","24.17","24.28","22.94","70.01M","-6.12%"
"03/27/2024","24.51","25.00","25.48","24.26","38.60M","-1.53%"
"03/26/2024","24.89","24.76","25.47","24.47","43.61M","1.55%"
"03/25/2024","24.51","24.12","24.62","24.05","29.26M","1.36%"
"03/22/2024","24.18","24.20","24.48","24.02","25.45M","-1.27%"
"03/21/2024","24.49","25.30","25.33","24.44","37.10M","-0.33%"
"03/20/2024","24.57","23.77","24.65","23.67","40.27M","3.24%"
"03/19/2024","23.80","23.50","23.83","22.92","43.25M","-0.83%"
"03/18/2024","24.00","23.77","24.18","23.32","44.08M","2.17%"
"03/15/2024","23.49","23.85","24.10","23.42","61.42M","-3.85%"
"03/14/2024","24.43","24.83","24.97","24.14","49.21M","-2.28%"
"03/13/2024","25.00","24.70","25.44","24.60","59.71M","1.21%"
"03/12/2024","24.70","25.57","25.64","24.35","75.20M","-2.56%"
"03/11/2024","25.35","25.89","26.83","25.29","60.83M","-2.65%"
"03/08/2024","26.04","27.19","27.28","25.81","84.26M","-1.59%"
"03/07/2024","26.46","27.01","27.50","26.38","117.52M","1.15%"
"03/06/2024","26.16","25.75","26.75","24.53","207.39M","9.87%"
"03/05/2024","23.81","23.96","24.41","23.43","49.54M","-0.96%"
"03/04/2024","24.04","24.40","24.58","23.53","64.32M","-3.57%"
"03/01/2024","24.93","25.30","25.69","24.53","64.79M","-0.60%"
"02/29/2024","25.08","24.81","25.29","24.36","62.75M","2.70%"
"02/28/2024","24.42","24.52","24.84","24.25","47.31M","-0.45%"
"02/27/2024","24.53","23.76","24.62","23.72","64.97M","4.12%"
"02/26/2024","23.56","23.03","23.88","22.94","46.50M","2.57%"
"02/23/2024","22.97","23.53","24.07","22.82","48.84M","-2.63%"
"02/22/2024","23.59","23.77","23.95","23.05","64.46M","3.74%"
"02/21/2024","22.74","22.30","22.93","22.29","60.41M","-2.82%"
"02/20/2024","23.40","23.84","24.00","22.72","93.37M","-4.26%"
"02/16/2024","24.44","24.96","25.50","24.39","65.50M","-3.82%"
"02/15/2024","25.41","25.04","25.46","24.71","70.54M","0.87%"
"02/14/2024","25.19","24.15","25.50","23.75","97.23M","4.91%"
"02/13/2024","24.01","23.53","24.66","23.31","102.29M","-4.15%"
"02/12/2024","25.05","23.91","25.52","23.82","108.17M","2.75%"
"02/09/2024","24.38","25.04","25.11","23.57","149.06M","-0.53%"
"02/08/2024","24.51","23.96","25.06","23.32","212.67M","3.86%"
"02/07/2024","23.60","21.60","23.87","21.38","254.91M","7.91%"
"02/06/2024","21.87","20.30","22.18","19.76","421.27M","30.80%"
"02/05/2024","16.72","17.56","17.87","16.48","167.70M","-1.76%"
"02/02/2024","17.02","16.34","17.02","16.15","57.67M","4.23%"
"02/01/2024","16.33","16.21","16.49","16.03","40.45M","1.49%"
"01/31/2024","16.09","16.41","16.76","16.07","43.58M","-3.88%"
"01/30/2024","16.74","17.04","17.24","16.66","36.39M","-2.05%"
"01/29/2024","17.09","16.45","17.11","16.43","35.99M","4.53%"
"01/26/2024","16.35","16.40","16.75","16.34","28.61M","-0.67%"
"01/25/2024","16.46","16.92","17.00","16.31","44.59M","-1.73%"
"01/24/2024","16.75","17.51","17.65","16.74","42.71M","-3.35%"
"01/23/2024","17.33","17.64","17.73","17.20","37.79M","-1.53%"
"01/22/2024","17.60","17.46","18.35","17.43","85.57M","4.89%"
"01/19/2024","16.78","16.57","16.78","16.15","40.69M","2.32%"
"01/18/2024","16.40","16.75","16.81","16.10","35.24M","0.06%"
"01/17/2024","16.39","16.26","16.41","16.05","30.83M","-0.85%"
"01/16/2024","16.53","16.59","16.74","16.29","32.66M","-1.37%"
"01/12/2024","16.76","16.68","17.06","16.62","33.95M","0.48%"
"01/11/2024","16.68","16.81","16.93","16.17","39.55M","-0.66%"
"01/10/2024","16.79","16.50","17.03","16.40","41.25M","2.44%"
"01/09/2024","16.39","16.51","16.63","16.28","35.79M","-1.68%"
"01/08/2024","16.67","16.22","16.89","16.14","49.09M","4.32%"
"01/05/2024","15.98","15.70","16.13","15.66","57.70M","-1.66%"
"01/04/2024","16.25","16.05","16.58","15.95","39.94M","0.99%"
"01/03/2024","16.09","16.12","16.38","16.01","46.87M","-2.96%"
"01/02/2024","16.58","16.95","16.95","16.50","41.63M","-3.44%"
