"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2024","74.30","73.17","74.80","72.90","35.37M","0.26%"
"10/10/2024","74.11","73.32","74.95","72.72","43.03M","-0.35%"
"10/09/2024","74.37","72.52","74.63","72.06","39.35M","2.41%"
"10/08/2024","72.62","70.66","72.98","70.31","38.96M","4.34%"
"10/07/2024","69.60","71.05","71.58","69.06","41.20M","-3.29%"
"10/04/2024","71.97","72.00","72.16","69.78","55.47M","3.52%"
"10/03/2024","69.52","68.73","70.81","68.39","48.87M","-0.23%"
"10/02/2024","69.68","69.01","70.54","67.87","39.56M","0.37%"
"10/01/2024","69.42","72.28","72.43","67.70","67.38M","-4.24%"
"09/30/2024","72.49","71.46","72.62","70.18","43.17M","0.78%"
"09/27/2024","71.93","73.62","73.66","71.39","41.47M","-1.72%"
"09/26/2024","73.19","74.92","75.07","71.58","53.50M","2.12%"
"09/25/2024","71.67","71.14","72.49","71.06","32.36M","0.03%"
"09/24/2024","71.65","71.28","72.09","69.38","40.63M","1.42%"
"09/23/2024","70.65","70.62","71.15","70.04","34.92M","0.74%"
"09/20/2024","70.13","70.15","70.68","68.31","48.38M","-0.64%"
"09/19/2024","70.58","70.30","71.80","69.41","57.40M","7.56%"
"09/18/2024","65.62","67.02","68.76","65.39","83.20M","-1.31%"
"09/17/2024","66.49","67.70","68.26","65.47","51.56M","0.06%"
"09/16/2024","66.45","66.42","66.71","65.03","41.17M","-1.34%"
"09/13/2024","67.35","66.15","67.87","66.05","43.98M","1.31%"
"09/12/2024","66.48","64.63","66.89","63.89","55.17M","2.96%"
"09/11/2024","64.57","61.18","64.95","57.77","81.74M","6.38%"
"09/10/2024","60.70","59.78","60.92","58.20","45.79M","2.69%"
"09/09/2024","59.11","58.57","59.49","57.33","55.42M","3.72%"
"09/06/2024","56.99","61.61","61.97","56.72","84.95M","-8.11%"
"09/05/2024","62.02","61.14","63.72","60.72","55.09M","0.32%"
"09/04/2024","61.82","61.04","63.37","60.65","48.40M","-0.85%"
"09/03/2024","62.35","67.26","67.32","61.29","73.79M","-9.12%"
"08/30/2024","68.61","68.12","68.87","66.18","46.47M","3.41%"
"08/29/2024","66.35","67.45","69.43","65.79","60.02M","-0.52%"
"08/28/2024","66.70","68.80","69.12","65.16","59.31M","-3.39%"
"08/27/2024","69.04","67.73","69.50","66.85","35.77M","0.85%"
"08/26/2024","68.46","70.27","70.67","67.53","42.49M","-2.93%"
"08/23/2024","70.53","70.20","71.72","68.50","64.38M","3.14%"
"08/22/2024","68.38","72.86","73.16","67.92","63.75M","-4.80%"
"08/21/2024","71.83","71.18","72.66","70.42","51.50M","1.37%"
"08/20/2024","70.86","70.90","72.06","70.09","48.93M","-0.62%"
"08/19/2024","71.30","68.68","71.35","67.89","45.80M","3.88%"
"08/16/2024","68.64","67.62","69.25","67.19","44.84M","0.26%"
"08/15/2024","68.46","66.13","68.63","65.99","53.21M","7.52%"
"08/14/2024","63.67","63.99","64.64","61.87","62.36M","0.17%"
"08/13/2024","63.56","60.96","63.71","60.90","54.48M","7.27%"
"08/12/2024","59.25","59.23","60.40","58.11","54.49M","0.68%"
"08/09/2024","58.85","57.44","59.53","57.00","62.80M","1.36%"
"08/08/2024","58.06","55.45","58.35","54.01","76.44M","9.16%"
"08/07/2024","53.19","57.57","58.51","53.00","91.38M","-3.22%"
"08/06/2024","54.96","54.13","57.75","53.14","96.45M","2.50%"
"08/05/2024","53.62","49.33","56.19","48.80","143.96M","-8.72%"
"08/02/2024","58.74","59.65","60.72","57.00","104.92M","-7.29%"
"08/01/2024","63.36","68.58","70.22","61.70","105.35M","-7.21%"
"07/31/2024","68.28","66.98","69.00","66.38","86.70M","8.74%"
"07/30/2024","62.79","66.28","66.59","61.34","71.53M","-4.08%"
"07/29/2024","65.46","66.27","67.19","64.52","57.82M","0.58%"
"07/26/2024","65.08","65.00","66.34","63.78","68.70M","2.86%"
